secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1632.6,0.00000000,0.00000000,0,0,20,0,-255,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1632.6,0.00000000,0.00000000,0,0,20,0,-255,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1632.6,0.00000000,0.00000000,0,0,20,0,-255,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1632.6,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1632.6,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1632.4,0.00000000,0.00000000,0,0,21,0,-255,0,0,0,0,0,0,0,0
7,95,0,0,0,0,860,1632.4,0.00000000,0.00000000,0,0,21,0,55,0,0,0,0,0,0,0,0
8,104,0,0,0,0,830,1632.4,0.00000000,0.00000000,0,0,21,0,52,0,0,0,0,0,0,0,0
9,104,0,0,0,0,765,1632.4,0.00000000,0.00000000,0,0,21,0,53,0,0,0,0,0,0,0,0
10,99,0,0,0,0,731,1632.4,0.00000000,0.00000000,0,0,21,0,53,0,0,0,0,0,0,0,0
11,94,0,0,0,0,641,1632.6,0.00000000,0.00000000,0,0,21,0,59,0,0,0,0,0,0,0,0
12,94,0,0,0,0,0,1632.6,0.00000000,0.00000000,0,0,21,0,59,0,0,0,0,0,0,0,0
